from,to
Capital Region,Albany
Capital Region,Columbia Memorial Hospital
Capital Region,Samaritan Hospital
Capital Region,Saratoga Hospital
Capital Region,Ellis Hospital - Bellevue Woman's Care Center Division
Capital Region,Glens Falls Hospital
Central New York,Auburn Memorial Hospital
Central New York,Cortland Regional Medical Center Inc
Central New York,Oneida Healthcare Center
Central New York,Onondaga
Central New York,Oswego Hospital
Finger Lakes,Nicholas H Noyes Memorial Hospital
Finger Lakes,Monroe
Finger Lakes,Ontario
Finger Lakes,Newark-Wayne Community Hospital
Finger Lakes,Wyoming County Community Hospital
Long Island,Nassau
Long Island,Suffolk
Mid-Hudson,Orange
Mid-Hudson,Putnam Hospital Center
Mid-Hudson,Rockland
Mid-Hudson,Catskill Regional Medical Center
Mid-Hudson,Kingston Hospital
Mid-Hudson,Westchester
Mohawk Valley,Nathan Littauer Hospital
Mohawk Valley,St Marys Hospital at Amsterdam
Mohawk Valley,Oneida
Mohawk Valley,Mary Imogene Bassett Hospital
New York City,Bronx
New York City,Kings
New York City,New York
New York City,Queens
New York City,Richmond
North Country,Champlain Valley Physicians Hospital Medical Center
North Country,Franklin
North Country,Jefferson
North Country,Lewis
Southern Tier,Broome
Southern Tier,Arnot Ogden Medical Center
Southern Tier,Chenango Memorial Hospital Inc
Southern Tier,Corning Hospital
Southern Tier,Cayuga Medical Center at Ithaca
Western New York,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western New York,Olean General Hospital
Western New York,Chautauqua
Franklin,Adirondack Medical Center-Saranac Lake Site
Albany,Albany Medical Center Hospital
Franklin,Alice Hyde Medical Center
Chemung,Arnot Ogden Medical Center
Cayuga,Auburn Memorial Hospital
New York,Bellevue Hospital Center
New York,Beth Israel Medical Center/Petrie Campus
Bronx,Bronx-Lebanon Hospital Center - Concourse Division
Kings,Brookdale Hospital Medical Center
Kings,Brooklyn Hospital Center - Downtown Campus
Chautauqua,Brooks Memorial Hospital
Jefferson,Carthage Area Hospital Inc
Sullivan,Catskill Regional Medical Center
Tompkins,Cayuga Medical Center at Ithaca
Clinton,Champlain Valley Physicians Hospital Medical Center
Chenango,Chenango Memorial Hospital Inc
Columbia,Columbia Memorial Hospital
Onondaga,Community-General Hospital of Greater Syracuse
Kings,Coney Island Hospital
Steuben,Corning Hospital
Cortland,Cortland Regional Medical Center Inc
Onondaga,Crouse Hospital
Schenectady,Ellis Hospital - Bellevue Woman's Care Center Division
Queens,Elmhurst Hospital Center
Ontario,F F Thompson Hospital
Oneida,Faxton-St Lukes Healthcare St Lukes Division
Queens,Flushing Hospital Medical Center
Queens,Forest Hills Hospital
Ontario,Geneva General Hospital
Warren,Glens Falls Hospital
Suffolk,Good Samaritan Hospital Medical Center
Rockland,Good Samaritan Hospital of Suffern
New York,Harlem Hospital Center
Monroe,Highland Hospital
Westchester,Hudson Valley Hospital Center
Suffolk,Huntington Hospital
Bronx,Jacobi Medical Center
Queens,Jamaica Hospital Medical Center
Kings,Kings County Hospital Center
Ulster,Kingston Hospital
Westchester,Lawrence Hospital Center
New York,Lenox Hill Hospital
Lewis,Lewis County General Hospital
Bronx,Lincoln Medical & Mental Health Center
Queens,Long Island Jewish Medical Center
Kings,Lutheran Medical Center
Kings,Maimonides Medical Center
Otsego,Mary Imogene Bassett Hospital
Allegany,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Nassau,Mercy Medical Center
New York,Metropolitan Hospital Center
Bronx,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div
Bronx,Montefiore Medical Center - North Division
New York,Mount Sinai Hospital
Nassau,Nassau University Medical Center
Fulton,Nathan Littauer Hospital
New York,New York Downtown Hospital
Queens,New York Hospital Medical Center   of Queens
Kings,New York Methodist Hospital
New York,New York Presbyterian Hospital - Allen Pavilion
New York,New York Presbyterian Hospital - Columbia Presbyterian Center
New York,New York Presbyterian Hospital - New York Weill Cornell Center
Wayne,Newark-Wayne Community Hospital
Livingston,Nicholas H Noyes Memorial Hospital
Bronx,North Central Bronx Hospital
Nassau,North Shore University Hospital
Westchester,Northern Westchester Hospital
Rockland,Nyack Hospital
New York,NYU Hospitals Center
Cattaraugus,Olean General Hospital
Madison,Oneida Healthcare Center
Orange,Orange Regional Medical Center-Goshen Campus
Oswego,Oswego Hospital
Broome,Our Lady of Lourdes Memorial Hospital Inc
Suffolk,Peconic Bay Medical Center
Westchester,Phelps Memorial Hospital Assn
Putnam,Putnam Hospital Center
Queens,Queens Hospital Center
Richmond,Richmond University Medical Center
Monroe,Rochester General Hospital
Oneida,"Rome Memorial Hospital, Inc"
Rensselaer,Samaritan Hospital
Jefferson,Samaritan Medical Center
Saratoga,Saratoga Hospital
Westchester,SJRH - St Johns Division
Westchester,Sound Shore Medical Center of Westchester
Nassau,South Nassau Communities Hospital
Suffolk,Southampton Hospital
Suffolk,Southside Hospital
Orange,St Anthony Community Hospital
Bronx,St Barnabas Hospital
Suffolk,St Catherine of Siena Hospital
Suffolk,St Charles Hospital
Queens,St Johns Episcopal Hospital So Shore
Onondaga,St Josephs Hospital Health Center
Orange,St Luke's Cornwall Hospital/Newburgh
New York,St Lukes Roosevelt Hospital Center - Roosevelt Hospital Division
Montgomery,St Marys Hospital at Amsterdam
Albany,St Peters Hospital
Richmond,Staten Island University Hosp-North
Monroe,Strong Memorial Hospital
Monroe,The Unity Hospital of Rochester
Broome,United Health Services Hospitals Inc. - Wilson Medical Center
Suffolk,University Hospital
Kings,University Hospital of Brooklyn
Westchester,Westchester Medical Center
Westchester,White Plains Hospital Center
Nassau,Winthrop-University Hospital
Chautauqua,Woman's Christian Association
Kings,Woodhull Medical & Mental Health Center
Kings,Wyckoff Heights Medical Center
Wyoming,Wyoming County Community Hospital
